song_name,album,happy_sad,relationship,feelings_of_self,glass_half_full,stages,tempo,seriousness,future_prospects,feelings_of_male,togetherness,lyrics,spotify_uri,url,description
gorgeous,Reputation,1,-4,3,0,-2,0,0,-1,0,-3,"Gorgeous
 
 You should take it as a compliment
 That I got drunk and made fun of the way you talk
 You should think about the consequence
 Of your magnetic field bein' a little too strong
 And I got a boyfriend, he's older than us
 He's in the club doin' I don't know what
 You're so cool, it makes me hate you so much (I hate you so much)
 
 Whisky on ice, Sunset and Vine
 You've ruined my life by not bein' mine
 
 You're so gorgeous
 I can't say anything to your face
 'Cause look at your face (Gorgeous)
 And I'm so furious
 At you for makin' me feel this way
 But what can I say? You're gorgeous
 
 You should take it as a compliment
 That I'm talkin' to everyone here but you (But you, but you)
 And you should think about the consequence
 Of you touchin' my hand in a darkened room (Dark room, dark room)
 If you've got a girlfriend, I'm jealous of her
 But if you're single, that's honestly worse
 'Cause you're so gorgeous it actually hurts (Honey, it hurts)
   
 Ocean blue eyes lookin' in mine
 I feel like I might sink and drown and die
 
 You're so gorgeous
 I can't say anything to your face (To your face)
 'Cause look at your face (Look at your face; Gorgeous)
 And I'm so furious
 At you for makin' me feel this way (Feel this way)
 But what can I say? You're gorgeous
 
 You make me so happy it turns back to sad (Yeah)
 There's nothin' I hate more than what I can't have (And)
 You are so gorgeous, it makes me so mad (Mm)
 You make me so happy it turns back to sad (Yeah)
 There's nothin' I hate more than what I can't have (And)
 Guess I'll just stumble on home to my cats (Ugh) alone
 Unless you wanna come along (Oh)
 
 You're so gorgeous (Gorgeous)
 I can't say anything to your face (To your face)
 'Cause look at your face (Look at your face; Gorgeous)
 And I'm so furious (I'm so furious)
 At you for making me feel this way (Feel this way)
 But what can I say? (I say) You're gorgeous
 You make me so happy it turns back to sad (Yeah)
 There's nothin' I hate more than what I can't have (And)
 You are so gorgeous, it makes me so mad (Mm)
 You're gorgeous
 You make me so happy it turns back to sad (Turns back to sad)
 There's nothin' I hate more than what I can't have (What I can't have)
 You are so gorgeous, it makes me so mad (Mm)
 You're gorgeous ",1ZY1PqizIl78geGM4xWlEA,https://open.spotify.com/track/1ZY1PqizIl78geGM4xWlEA,"A person is captivated by someone they find incredibly attractive, causing conflicting emotions of happiness and jealousy, longing and frustration, due to their existing relationship and the unattainable allure of the other person."
i did something bad,Reputation,-1,-2,3,-2,0,-2,-1,-2,2,-1,"I never trust a narcissist, but they love me
 So I play 'em like a violin
 And I make it look, oh, so easy
 'Cause for every lie I tell them, they tell me three
 This is how the world works
 Now all he thinks about is me
 
 I can feel the flames on my skin
 Crimson red paint on my lips
 If a man talks shit, then I owe him nothin'
 I don't regret it one bit 'cause he had it comin'
 
 They say I did somethin' bad
 Then why's it feel so good?
 They say I did somethin' bad
 But why's it feel so good?
 Most fun I ever had
 And I'd do it over and over and over again if I could
 It just felt so good, good
 
 Ra-di-di-di-di-di-di-di-di-di-da-da
 Ra-di-di-di-di-di-di-di-di-di-da-da
 Ra-di-di-di-di-di-di-di-di-di-da-da
 Da-da, da, da
   
 I never trust a playboy, but they love me
 So I fly 'em all around the world
 And I let them think they saved me
 They never see it comin', what I do next
 This is how the world works
 You gotta leave before you get left
 
 I can feel the flames on my skin
 He says, ""Don't throw away a good thing""
 But if he drops my name, then I owe him nothin'
 And if he spends my change, then he had it comin'
 
 They say I did somethin' bad (Da-da)
 Then why's it feel so good?
 They say I did somethin' bad
 But why's it feel so good?
 Most fun I ever had
 And I'd do it over and over and over again if I could
 It just felt so good, good
 
 Ra-di-di-di-di-di-di-di-di-di-da-da
 Ra-di-di-di-di-di-di-di-di-di-da-da
 (It just felt so good)
 Ra-di-di-di-di-di-di-di-di-di-da-da
 Da-da, da, da
 They're burning all the witches, even if you aren't one
 They got their pitchforks and proof, their receipts and reasons
 They're burning all the witches, even if you aren't one
 So light me up (Light me up), light me up (Light me up)
 Light me up, go ahead and light me up (Light me up)
 Light me up (Light me up), light me up (Light me up)
 Light me up (Light me up), light me up
 
 They say I did somethin' bad (Oh)
 Then why's it feel so good? (So good)
 They say I did somethin' bad
 But why's it feel so (Good) good?
 Most fun I ever had (Most fun I ever had)
 And I'd do it over and over and over again if I could
 It just felt so good (Good), good
 
 Ra-di-di-di-di-di-di-di-di-di-da-da (Bad)
 Ra-di-di-di-di-di-di-di-di-di-da-da
 Oh, they say I did somethin' bad (They say I did somethin' bad)
 Ra-di-di-di-di-di-di-di-di-di-da-da
 Then why's it feel so good, good?
 
 So good (Bad), why's it feel so good?
 Why's it feel, why's it feel so good? (Bad)
 It just felt so good, good ",4svZDCRz4cJoneBpjpx8DJ,https://open.spotify.com/track/4svZDCRz4cJoneBpjpx8DJ,"A song about revenge and empowerment, where the speaker takes delight in outsmarting deceitful lovers and enjoying the 'most fun' they've ever had, despite societal judgment."
king of my heart,Reputation,7,5,2,2,1,2,1,2,1,1,"I'm perfectly fine, I live on my own
 I made up my mind, I'm better off bein' alone
 We met a few weeks ago
 Now you try on callin' me ""baby"" like tryin' on clothes
 
 Salute to me, I'm your American queen
 And you move to me like I'm a Motown beat
 And we rule the kingdom inside my room
 'Cause all the boys and their expensive cars
 With their Range Rovers and their Jaguars
 Never took me quite where you do
 
 And all at once, you are the one I have been waitin' for
 King of my heart, body and soul, woah
 And all at once, you're all I want, I'll never let you go
 King of my heart, body and soul, woah
 
 And all at once
 I've been waitin', waitin'
 Woah, woah
 And all at once
 You are the one, I have been waitin', waitin'
 Body and soul, woah
 And all at once
   
 Late in the night, the city's asleep
 Your love is a secret I'm hoping, dreaming, dying to keep
 Change my priorities
 The taste of your lips is my idea of luxury
 
 Salute to me, I'm your American queen
 And you move to me like I'm a Motown beat
 And we rule the kingdom inside my room (Inside my room, oh)
 'Cause all the boys and their expensive cars
 With their Range Rovers and their Jaguars
 Never took me quite where you do (Where you do)
 
 And all at once, you are the one I have been waitin' for
 King of my heart, body and soul, woah
 And all at once, you're all I want, I'll never let you go
 King of my heart (My heart), body and soul, woah
 
 And all at once (Hey)
 I've been waitin', waitin' (Waiting)
 Woah, woah
 And all at once
 You are the one I have been waitin' (Waitin'), waitin' (Waitin')
 Body and soul, woah
 And all at once
 Is this the end of all the endings?
 My broken bones are mending
 With all these nights we're spending
 Up on the roof with a school girl crush
 Drinkin' beer out of plastic cups
 Say you fancy me, not fancy stuff
 Baby, all at once, this is enough
 
 And all at once, you are the one I have been waitin' for
 King of my heart, body and soul, woah (And all at once)
 
 And all at once, you are the one I have been waitin' for
 King of my heart, body and soul, woah
 And all at once, you're all I want, I'll never let you go
 King of my heart (My heart), body and soul (My soul), woah
 
 And all at once
 I've been waitin', waitin'
 Woah, woah (Woah)
 And all at once
 You are the one I have been waitin', waitin'
 Body and soul, woah
 And all at once ",7HuBDWi18s4aJM8UFnNheH,https://open.spotify.com/track/7HuBDWi18s4aJM8UFnNheH,"A romantic connection is made, and the speaker finds their king, their other half; they feel complete and fulfilled, experiencing an intense attraction and desire for this person."
look what you made me do,Reputation,1,-11,3,-2,3,-3,-3,-3,-3,-2,"I don't like your little games
 Don't like your tilted stage
 The role you made me play
 Of the fool, no, I don't like you
 I don't like your perfect crime
 How you laugh when you lie
 You said the gun was mine
 Isn't cool, no, I don't like you (Oh)
 
 But I got smarter, I got harder in the nick of time
 Honey, I rose up from the dead, I do it all the time
 I've got a list of names and yours is in red, underlined
 I check it once, then I check it twice, oh
 
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me do
   
 I (I) don't (Don't) like your kingdom keys (Keys)
 They (They) once belonged to me (Me)
 You (You) asked me for a place to sleep
 Locked me out and threw a feast (What?)
 The world moves on, another day, another drama, drama
 But not for me, not for me, all I think about is karma
 And then the world moves on, but one thing's for sure
 Maybe I got mine, but you'll all get yours
 
 But I got smarter, I got harder in the nick of time (Nick of time)
 Honey, I rose up from the dead, I do it all the time (I do it all the time)
 I've got a list of names and yours is in red, underlined
 I check it once, then I check it twice, oh
 
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me do
 I don't trust nobody and nobody trusts me
 I'll be the actress starrin' in your bad dreams
 I don't trust nobody and nobody trusts me
 I'll be the actress starrin' in your bad dreams
 I don't trust nobody and nobody trusts me
 I'll be the actress starrin' in your bad dreams
 I don't trust nobody and nobody trusts me
 I'll be the actress starrin' in your bad dreams
 
 (Ooh, look what you made me do)
 (Look what you made me do)
 (Look what you just made me do)
 (Look what you just made me)
 ""I'm sorry, the old Taylor can't come to the phone right now""
 (Ooh, look what you made me do)
 (Look what you made me do)
 (Look what you just made me)
 ""Why? Oh, 'cause she's dead"" (Oh)
 
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me do
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me
 Ooh, look what you made me do
 Look what you made me do
 Look what you just made me do
 Look what you just made me do ",1P17dC1amhFzptugyAO7Il,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il,"The speaker expresses anger and resentment towards a manipulative person, who played games and deceived them, but the speaker has risen above it, seeking justice and moving on, no longer trusting anyone."
new year's day,Reputation,2,4,0,-1,3,0,2,1,0,1,"There's glitter on the floor after the party
 Girls carryin’ their shoes down in the lobby
 Candle wax and Polaroids on the hardwood floor
 You and me from the night before, but
 
 Don't read the last page
 But I stay when you're lost and I’m scared and you're turnin' away
 I want your midnights
 But I'll be cleanin' up bottles with you on New Year's Day
 
 You squeeze my hand three times in the back of the taxi
 I can tell that it's gonna be a long road
 I'll be there if you’re the toast of the town, babe
 Or if you strike out and you’re crawlin' home
 
 Don’t read the last page
 But I stay when it's hard or it's wrong or we're makin’ mistakes
 I want your midnights
 But I'll be cleanin' up bottles with you on New Year's Day
 
 Hold on to the memories, they will hold on to you
 Hold on to the memories, they will hold on to you
 Hold on to the memories, they will hold on to you
 And I will hold on to you
   
 Please, don't ever become a stranger
 Whose laugh I could recognize anywhere
 Please, don't ever become a stranger
 Whose laugh I could recognize anywhere
 
 There's glitter on the floor after the party
 Girls carryin' their shoes down in the lobby
 Candle wax and Polaroids on the hardwood floor
 You and me forevermore
 
 Don't read the last page
 But I stay when it's hard or it's wrong or we're makin' mistakes
 I want your midnights
 But I'll be cleanin' up bottles with you on New Year's Day
 
 Hold on to the memories, they will hold on to you
 Hold on to the memories, they will hold on to you
 Hold on to the memories, they will hold on to you
 And I will hold on to you (Hold on)
 
 Please, don't ever become a stranger
 (To the memories, they will hold on to you)
 Whose laugh I could recognize anywhere
 (Hold on to the memories, they will hold on to you)
 Please, don't ever become a stranger
 (Hold on to the memories, they will hold on to you)
 Whose laugh I could recognize anywhere
 (And I will hold on to you) ",7F5oktn5YOsR9eR5YsFtqb,https://open.spotify.com/track/7F5oktn5YOsR9eR5YsFtqb,"A deep, enduring love is cherished, promising to stay together through hardships, mistakes, and New Year's Days, with memories that will hold on, as the speaker pleads not to become strangers."
so it goes...,Reputation,-2,3,0,-2,0,0,1,0,1,1,"See you in the dark
 All eyes on you, my magician
 All eyes on us
 You make everyone disappear and
 Cut me into pieces
 Gold cage, hostage to my feelings
 Back against the wall
 Trippin', trip-trippin' when you're gone
 
 'Cause we break down a little
 But when you get me alone, it's so simple
 'Cause, baby, I know what you know
 We can feel it
 
 And all the pieces fall right into place
 Gettin' caught up in a moment, lipstick on your face
 So it goes
 I'm yours to keep and I'm yours to lose
 You know I'm not a bad girl, but I do bad things with you
 So it goes
 
 Met you in a bar
 All eyes on me, your illusionist
 All eyes on us
 I make all your gray days clear and
 Wear you like a necklace
 I'm so chill, but you make me jealous
 But I got your heart
 Skippin', skip-skippin' when I'm gone
   
 'Cause we break down a little
 But when I get you alone, it's so simple
 'Cause, baby, I know what you know
 We can feel it
 
 And all the pieces fall right into place
 Gettin' caught up in a moment, lipstick on your face
 So it goes
 I'm yours to keep and I'm yours to lose
 You know I'm not a bad girl, but I do bad things with you
 So it goes
 
 Come here, dressed in black now
 So, so, so it goes
 Scratches down your back now
 So, so, so it goes
 
 You did a number on me
 But, honestly, baby, who's countin'?
 I did a number on you
 But, honestly, baby, who's countin'?
 You did a number on me
 But, honestly, baby, who's countin'?
 Who's countin'? (One, two, three)
 And all the pieces fall (Pieces fall) right into place
 Gettin' caught up in a moment (Caught up, caught up), lipstick on your face
 So it goes
 I'm yours to keep (Oh) and I'm yours to lose (Baby)
 You know I'm not a bad girl, but I (I do) do bad things with you
 So it goes
 
 Come here, dressed in black now
 So, so, so it goes
 Scratches down your back now
 So, so, so it goes
 Come here, dressed in black now
 So, so, so it goes
 Scratches down your back now
 So, so, so it goes ",5PxFv9yJEg9dxvbZggykro,https://open.spotify.com/track/5PxFv9yJEg9dxvbZggykro,"A passionate, intense relationship is depicted, where the lovers bring out both the best and the 'bad' in each other, feeling complete together and enjoying secret moments, while also experiencing jealousy and the allure of the forbidden."
this is why we can't have nice things,Reputation,-8,-11,0,-2,-3,-3,-3,-3,-3,-2,"It was so nice throwin' big parties
 Jump into the pool from the balcony
 Everyone swimmin' in a champagne sea
 And there are no rules when you show up here
 Bass beat rattling the chandelier
 Feelin' so Gatsby for that whole year
 
 So why'd you have to rain on my parade?
 I'm shaking my head and locking the gates
 This is why we can't have nice things, darlin'
 Because you break them, I had to take them away
 This is why we can't have nice things, honey (Oh)
 Did you think I wouldn't hear all the things you said about me?
 This is why we can't have nice things
 
 It was so nice being friends again
 There I was, giving you a second chance
 But you stabbed me in the back while shakin' my hand
 And therein lies the issue, friends don't try to trick you
 Get you on the phone and mind-twist you
 And so I took an axe to a mended fence
   
 But I'm not the only friend you've lost lately (Mm-mm)
 If only you weren't so shady
 This is why we can't have nice things, darlin' (Yeah)
 Because you break them, I had to take them away
 This is why we can't have nice (Nice things) things (Baby), honey
 Did you think I wouldn't hear all the things you said about me?
 This is why we can't have
 
 Here's a toast to my real friends
 They don't care about the he-said, she-said
 And here's to my baby
 He ain't readin' what they call me lately
 And here's to my mama
 Had to listen to all this drama
 And here's to you
 'Cause forgiveness is a nice thing to do
 Haha, I can't even say it with a straight face (This is why we can't have)
 This is why we can't have nice things, darlin' (Darlin')
 Because you break them, I had to take them away (Away)
 This is why we can't have nice (Uh, uh) things (Oh, no), honey (Baby, oh)
 Did you think I wouldn't hear all the things you said about me?
 This is why we can't have (Oh) nice (Oh, no) things, darlin'
 (And here's to my real friends; Oh)
 Because you break them, I had to take them (Away)
 (And here's to my baby; Oh)
 Nice things (Oh, no), honey
 (They didn't care about that he-said, she-said)
 Did you think I wouldn't hear all the things you said about me?
 This is why we can't have nice things ",07NxDD1iKCHbAldceD7QLP,https://open.spotify.com/track/07NxDD1iKCHbAldceD7QLP,"This song is about the betrayal of trust and the consequences of gossip. The speaker laments the loss of friendship due to deceit and disloyalty, emphasizing that such actions result in the loss of 'nice things'."
afterglow,Lover,-6,-7,-3,-3,-2,2,-3,0,-2,-2,"I blew things out of proportion, now you're blue
 Put you in jail for something you didn’t do
 I pinned your hands behind your back, oh
 Thought I had reason to attack, but no
 
 Fighting with a true love is boxing with no gloves
 Chemistry 'til it blows up, 'til there’s no us
 Why'd I have to break what I love so much?
 It's on your face, and I'm to blame, I need to say
 
 Hey, it's all me, in my head
 I'm the one who burned us down
 But it's not what I meant
 Sorry that I hurt you
 I don't wanna do, I don’t wanna do this to you (Ooh)
 I don’t wanna lose, I don't wanna lose this with you (Ooh)
 I need to say, hey, it’s all me, just don't go
 Meet me in the afterglow
 
 It's so excruciating to see you low
 Just wanna lift you up and not let you go
 This ultraviolet morning light below
 Tells me this love is worth the fight, oh
   
 I lived like an island, punished you with silence
 Went off like sirens, just crying
 Why'd I have to break what I love so much?
 It’s on your face, don't walk away, I need to say
 
 Hey, it's all me, in my head
 I'm the one who burned us down
 But it's not what I meant
 I'm sorry that I hurt you
 I don't wanna do, I don't wanna do this to you (Ooh)
 I don't wanna lose, I don't wanna lose this with you (Ooh)
 I need to say, hey, it's all me, just don't go
 Meet me in the afterglow
 
 Tell me that you're still mine
 Tell me that we'll be just fine
 Even when I lose my mind
 I need to say
 Tell me that it's not my fault
 Tell me that I'm all you want
 Even when I break your heart
 I need to say
 Hey, it's all me, in my head
 I'm the one who burned us down
 But it's not what I meant
 Sorry that I hurt you
 I don't wanna do, I don't wanna do this to you (Ooh)
 I don't wanna lose, I don't wanna lose this with you (Ooh)
 I need to say, hey, it's all me, just don't go
 Meet me in the afterglow ",1SymEzIT3H8UZfibCs3TYi,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi,"This song is about the regret and longing after a heated argument, the singer expresses remorse and wishes to make amends, hoping for reconciliation."
cornelia street,Lover,0,6,-1,0,1,0,2,2,3,-1,"We were in the backseat
 Drunk on something stronger than the drinks in the bar
 ""I rent a place on Cornelia Street""
 I say casually in the car
 We were a fresh page on the desk
 Filling in the blanks as we go
 As if the street lights pointed in an arrow head
 Leading us home
 
 And I hope I never lose you, hope it never ends
 I'd never walk Cornelia Street again
 That's the kinda heartbreak time could never mend
 I'd never walk Cornelia Street again
 And baby, I get mystified by how this city screams your name
 And baby, I'm so terrified of if you ever walk away
 I'd never walk Cornelia Street again
 I'd never walk Cornelia Street again
 
 Windows flung right open, autumn air
 Jacket 'round my shoulders is yours
 We bless the rains on Cornelia Street
 Memorize the creaks in the floor
 Back when we were card sharks, playing games
 I thought you were leading me on
 I packed my bags, left Cornelia Street
 Before you even knew I was gone
   
 But then you called, showed your hand
 I turned around before I hit the tunnel
 Sat on the roof, you and I
 
 I hope I never lose you, hope it never ends
 I'd never walk Cornelia Street again
 That's the kinda heartbreak time could never mend
 I'd never walk Cornelia Street again
 And baby, I get mystified by how this city screams your name (City screams your name)
 And baby, I'm so terrified of if you ever walk away
 I'd never walk Cornelia Street again
 I'd never walk Cornelia Street again
 You hold my hand on the street
 Walk me back to that apartment
 Years ago, we were just inside
 Barefoot in the kitchen
 Sacred new beginnings
 That became my religion, listen
 
 I hope I never lose you
 I'd never walk Cornelia Street again
 Oh, never again
 And baby, I get mystified by how this city screams your name (City screams your name)
 And baby, I'm so terrified of if you ever walk away
 I'd never walk Cornelia Street again
 I'd never walk Cornelia Street again
 I don't wanna lose you (Hope it never ends)
 I'd never walk Cornelia Street again
 I don't wanna lose you (Yeah)
 
 ""I rent a place on Cornelia Street""
 I say casually in the car ",12M5uqx0ZuwkpLp5rJim1a,https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a,"This song is about cherishing precious memories and the fear of losing a significant other, as the location Cornelia Street holds sentimental value."
cruel summer,Lover,-3,1,-1,-3,-1,2,2,-1,1,-1,"(Yeah, yeah, yeah, yeah)
 
 Fever dream high in the quiet of the night
 You know that I caught it (Oh yeah, you're right, I want it)
 Bad, bad boy, shiny toy with a price
 You know that I bought it (Oh yeah, you're right, I want it)
 
 Killing me slow, out the window
 I'm always waiting for you to be waiting below
 Devils roll the dice, angels roll their eyes
 What doesn't kill me makes me want you more
 
 And it's new, the shape of your body
 It's blue, the feeling I've got
 And it's ooh, woah-oh
 It's a cruel summer
 It's cool, that's what I tell 'em
 No rules in breakable heaven
 But ooh, woah-oh
 It's a cruel summer with you
 
 Hang your head low in the glow of the vending machine
 I'm not dying (Oh yeah, you're right, I want it)
 We say that we'll just screw it up in these trying times
 We're not trying (Oh yeah, you're right, I want it)
   
 So cut the headlights, summer's a knife
 I'm always waiting for you just to cut to the bone
 Devils roll the dice, angels roll their eyes
 And if I bleed, you'll be the last to know, oh
 
 It's new, the shape of your body
 It's blue, the feeling I've got
 And it's ooh, woah-oh
 It's a cruel summer
 It's cool, that's what I tell 'em
 No rules in breakable heaven
 But ooh, woah-oh
 It's a cruel summer with you
 
 I'm drunk in the back of the car
 And I cried like a baby comin' home from the bar (Oh)
 Said, ""I'm fine,"" but it wasn't true
 I don't wanna keep secrets just to keep you
 And I snuck in through the garden gate
 Every night that summer just to seal my fate (Oh)
 And I scream, ""For whatever it's worth
 I love you, ain't that the worst thing you ever heard?""
 He looks up, grinnin' like a devil
 It's new, the shape of your body
 It's blue, the feeling I've got
 And it's ooh, woah-oh
 It's a cruel summer
 It's cool, that's what I tell 'em
 No rules in breakable heaven
 But ooh, woah-oh
 It's a cruel summer with you
 
 I'm drunk in the back of the car
 And I cried like a baby comin' home from the bar (Oh)
 Said, ""I'm fine,"" but it wasn't true
 I don't wanna keep secrets just to keep you
 And I snuck in through the garden gate
 Every night that summer just to seal my fate (Oh)
 And I scream, ""For whatever it's worth
 I love you, ain't that the worst thing you ever heard?""
 (Yeah, yeah, yeah, yeah) ",1BxfuPKGuaTgP7aM0Bbdwr,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,"The song portrays a tumultuous, intense relationship full of desire and passion, depicted as a cruel summer. Despite the challenges and potential pain, the singer is deeply infatuated and can't resist the allure of this love."
daylight,Lover,0,4,-2,-1,1,2,2,3,0,-1,"My love was as cruel as the cities I lived in
 Everyone looked worse in the light
 There are so many lines that I've crossed unforgiven
 I'll tell you the truth but never goodbye
 
 I don't wanna look at anything else now that I saw you
 I don't wanna think of anything else now that I thought of you
 I've been sleepin' so long in a twenty-year dark night
 And now I see daylight, I only see daylight
 
 Luck of the draw only draws the unlucky
 And so I became the butt of the joke
 I wounded the good and I trusted the wicked
 Clearin' the air, I breathed in the smoke
 
 Maybe you ran with the wolves and refused to settle down
 Maybe I've stormed out of every single room in this town
 Threw out our cloaks and our daggers because it's morning now
 It's brighter now, now
 
 I don't wanna look at anything else now that I saw you
 (I can never look away)
 I don't wanna think of anything else now that I thought of you
 (Things will never be the same)
 I've been sleepin' so long in a twenty-year dark night
 (Now I'm wide awake)
 And now I see daylight (Daylight), I only see daylight (Daylight)
   
 I only see daylight, daylight, daylight, daylight
 I only see daylight, daylight, daylight, daylight
 
 And I can still see it all (In my mind)
 All of you, all of me (Intertwined)
 I once believed love would be (Black and white)
 But it's golden (Golden)
 And I can still see it all (In my head)
 Back and forth from New York (Sneakin' in your bed)
 I once believed love would be (Burnin' red)
 But it's golden
 Like daylight, like daylight
 Like daylight, daylight
 
 I don't wanna look at anything else now that I saw you
 (I can never look away)
 And I don't wanna think of anything else now that I thought of you
 (Things will never be the same)
 I've been sleepin' so long in a twenty-year dark night
 (Now I'm wide awake)
 And now I see daylight (I see daylight), I only see daylight (Ah)
 
 I only see daylight, daylight, daylight, daylight
 I only see daylight, daylight, daylight, daylight (Ah)
 (And I can still see it all)
 I only see daylight, daylight, daylight, daylight
 (And I can still see it all, back and forth from New York)
 I only see daylight, daylight, daylight, daylight
 (I once believed love would be burning red)
 Like daylight
 It's golden like daylight
 You gotta step into the daylight and let it go
 Just let it go, let it go
 I wanna be defined by the things that I love
 Not the things I hate
 Not the things I'm afraid of, I'm afraid of
 Or the things that haunt me in the middle of the night
 I, I just think that
 You are what you love ",1fzAuUVbzlhZ1lJAx9PtY6,https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6,"The song reflects on a past, destructive love in a dark context, but finds resolution in moving forward and embracing a new, hopeful outlook. The singer realizes that love should be about positivity and what one loves, rather than fear and darkness."
death by a thousand cuts,Lover,-6,-7,0,-3,-3,0,-1,-2,-2,-2,"My, my, my, my
 My, my, my, my
 My, my, my, my
 My, my, my, my
 My, my, my, my
 My, my, my, my
 My, my, my, my
 My, my, my, my
 
 Saying goodbye is death by a thousand cuts
 Flashbacks waking me up
 I get drunk, but it's not enough
 ’Cause the morning comes and you're not my baby
 I look through the windows of this love
 Even though we boarded them up
 Chandelier's still flickering here
 ’Cause I can't pretend it's okay when it's not
 It's death by a thousand cuts
 
 I dress to kill my time, I take the long way home
 I ask the traffic lights if it'll be alright
 They say, ""I don't know""
 And what once was ours is no one's now
 I see you everywhere, the only thing we share
 Is this small town
 You said it was a great love, one for the ages
 But if the story’s over, why am I still writing pages?
   
 ’Cause saying goodbye is death by a thousand cuts
 Flashbacks waking me up
 I get drunk, but it's not enough
 ’Cause the morning comes and you're not my baby
 I look through the windows of this love
 Even though we boarded them up
 Chandelier's still flickering here
 'Cause I can’t pretend it's okay when it's not
 It's death by a thousand cuts
 
 My heart, my hips, my body, my love
 Tryna find a part of me that you didn't touch
 Gave up on me like I was a bad drug
 Now I'm searching for signs in a haunted club
 Our songs, our films, united we stand
 Our country, guess it was a lawless land
 Quiet my fears with the touch of your hand
 Paper cut stings from our paper-thin plans
 My time, my wine, my spirit, my trust
 Tryna find a part of me you didn't take up
 Gave you too much, but it wasn't enough
 But I'll be alright, it's just a thousand cuts
 
 I get drunk, but it's not enough
 'Cause you're not my baby
 I look through the windows of this love
 Even though we boarded them up
 Chandelier's still flickering here
 'Cause I can't pretend it's okay when it's not
 No, it's not
 It's death by a thousand cuts (You didn't touch)
 Tryna find a part of me that you didn't touch
 My body, my love, my trust (It's death by a thousand cuts)
 But it wasn't enough, it wasn't enough, no, no
 
 I take the long way home
 I ask the traffic lights if it'll be alright
 They say, ""I don't know"" ",2dgFqt3w9xIQRjhPtwNk3D,https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D,"The song portrays the pain of a breakup, described as death by a thousand cuts. The singer struggles with flashbacks, longing, and the emptiness left by a former lover. Despite attempts to move on, memories haunt her, and she faces challenges finding a sense of self beyond the relationship."
false god,Lover,-5,1,-2,-2,-1,0,-1,0,0,2,"We were crazy to think
 Crazy to think that this could work
 Remember how I said I'd die for you?
 We were stupid to jump
 In the ocean separating us
 Remember how I’d fly to you?
 
 And I can't talk to you when you're like this
 Staring out the window like I’m not your favorite town
 I'm New York City
 I still do it for you, babe
 They all warned us about times like this
 They say the road gets hard and you get lost
 When you're led by blind faith, blind faith
 
 But we might just get away with it
 Religion's in your lips
 Even if it's a false god
 We'd still worship
 We might just get away with it
 The altar is my hips
 Even if it's a false god
 We'd still worship this love
 We’d still worship this love
 We’d still worship this love
   
 I know heaven's a thing
 I go there when you touch me, honey
 Hell is when I fight with you
 But we can patch it up good
 Make confessions and we’re begging for forgiveness
 Got the wine for you
 
 And you can't talk to me when I'm like this
 Daring you to leave me just so I can try and scare you
 You're the West Village
 You still do it for me, babe
 They all warned us about times like this
 They say the road gets hard and you get lost
 When you’re led by blind faith, blind faith
 
 But we might just get away with it
 Religion's in your lips
 Even if it's a false god
 We'd still worship
 We might just get away with it
 The altar is my hips
 Even if it's a false god
 We'd still worship this love
 We'd still worship this love
 We'd still worship this love, ah
 Still worship this love
 Even if it's a false god
 Even if it's a false god
 Still worship this love ",5hQSXkFgbxjZo9uCwd11so,https://open.spotify.com/track/5hQSXkFgbxjZo9uCwd11so,"The song portrays an intense, passionate relationship full of ups and downs. Despite the challenges and warnings from others, the couple is deeply in love and willing to face the hardships together. They find heaven in each other's touch, but also experience hell in their fights. They remain committed, even referring to each other as their religion and altar."
